date,1,2,3,4,5,6,7,8,9,10,H-L
192602,-7.81,-5,-3.97,-3.74,-4.72,-1.32,-1.79,-1.51,-2.6,-5.29,2.52
192603,-17.24,-12.02,-12.23,-5.21,-8.55,-4.47,-4.9,-4.91,-3.86,-8.32,8.92
192604,1.97,1.81,2.13,5.09,4.02,3.68,4.73,3.34,4.12,3.57,1.6
192605,-3.08,0.89,-1.56,1.13,1.95,2.59,1.51,0.42,1.37,1.17,4.25
192606,7.33,8.34,11.65,5.72,7.86,4.6,4.07,4.11,3.68,2.92,-4.41
192607,-2.44,2.02,2.32,1.12,3.25,2.17,1.83,3.14,1.53,10.6,13.04
192608,1.55,3.66,4.24,2.47,4.54,3.62,2.58,1.63,0.84,4.16,2.61
192609,-4.48,1.37,-0.74,0.79,0.19,0.68,0.44,-1.68,5.47,-2.38,2.1
192610,-11.04,-4.4,-2.49,-3,-1.86,-2.33,-3.31,-1.45,-2.41,-5.7,5.34
192611,-1.25,6.4,3.46,3.89,4.74,2.98,2.14,1.92,1.67,0.89,2.14
192612,5.78,2.99,5.31,3.58,3.27,2.97,0.66,4.19,0.2,-0.02,-5.8
192701,-1.37,-0.45,-1.37,0.68,0.46,1.12,0.19,0.52,-0.21,0.03,1.4
192702,3.32,5.43,5.63,4.24,4.55,2.7,3.14,8.05,4.43,9.23,5.91
192703,-7.05,-4.88,-0.32,1.34,0.82,1.28,0.13,3.17,4.32,-4.08,2.97
192704,-3.73,-3.73,-2.63,-1.96,0.34,2.55,0.87,2.45,1.1,4.38,8.11
192705,7.04,4.89,4.78,4.27,6.73,5.24,6.01,6.85,6.87,6.04,-1
192706,-3.76,-2.36,-1.77,-2.8,-2.25,-1.6,-3.02,-1.19,-1.69,-3.29,0.47
192707,6.23,5.93,5.59,7.45,8.87,5.05,10.86,7.37,9.02,5.33,-0.9
192708,-3.64,0.74,0.99,1.14,1.48,2.02,2.23,-0.6,4.74,5.57,9.21
192709,9.67,3.6,1.96,2.15,3.93,5.72,5.02,6.11,5.66,8.26,-1.41
192710,-2.14,-5.65,-6.73,-4.26,-2.22,-2.41,-4.33,-2.87,-5.73,-6.76,-4.62
192711,9.37,10.89,8.21,7.54,5.78,5.1,5.87,5.56,5.23,8.94,-0.43
192712,1.15,1.02,1.88,2.23,2.31,2.91,1.96,3.81,4.02,-0.18,-1.33
192801,0.95,0.21,-1.27,0.1,2.29,-1.22,-0.95,-1.64,0.8,-1.35,-2.3
192802,-3.15,-3,-1.58,-0.04,-1.77,-0.68,-2.14,-3.55,-0.93,-5.02,-1.87
192803,10.68,4.54,5.02,9.24,6.45,7.54,6.79,6.27,20.06,9.83,-0.85
192804,4.99,6.16,7.55,2.66,5.84,5.06,5.25,6.11,2.1,2.3,-2.69
192805,2.64,4.38,3.19,2.69,3.92,-0.86,0.54,-0.42,-1.13,-2.91,-5.55
192806,-6.15,-3.87,-3.81,-5.39,-4.33,-4.17,-3.25,-4.51,-6.34,-10.94,-4.79
192807,-0.41,3.52,-0.97,0.55,2.06,0.76,0.52,0.63,2.17,1.83,2.24
192808,12.47,8.4,6.46,5.52,6.1,5.82,5.77,9.22,8.42,11.74,-0.73
192809,3.47,6.7,1.34,2.37,2.54,3.26,4.04,1.44,3.43,7.01,3.54
192810,0.9,1.98,2.39,0.48,1.9,3.2,0.73,1.55,4.58,0.2,-0.7
192811,13.28,8.27,10.18,9.76,15.46,8.87,13,10.73,19.39,14.8,1.52
192812,1.98,-3.04,0.76,-0.41,0.26,0.75,0.81,3.26,1.69,-0.25,-2.23
192901,-3.94,-5.4,1.01,4.02,3.39,7.41,13.27,4.38,5.19,6.67,10.61
192902,-1.95,0.48,-0.82,1.41,1.66,0.67,1.3,-2.31,-0.06,-0.53,1.42
192903,-4.7,-4.66,-3.18,-1.84,0.07,1.87,0.14,1.68,-0.87,1.05,5.75
192904,3.13,0.53,2.08,0.67,3.21,1.93,2.39,2.15,2.62,-0.19,-3.32
192905,-12.77,-7.48,-6.4,-7.18,-9.11,-1.18,-2.17,-6.2,-7.97,-3.08,9.69
192906,13.25,8.56,7.94,11.53,12.32,7.93,8.7,6.99,10.68,14.35,1.1
192907,0.19,0.37,1.38,4.44,3.75,3.17,3.38,8.58,3.95,7.61,7.42
192908,10.46,2.36,5.33,6.67,9.84,7.36,8.86,8.01,14.06,7.5,-2.96
192909,-6.1,-1.01,-3.49,-4.1,3.17,-5.05,-6.54,-6.49,-5.24,-6.56,-0.46
192910,-32.33,-21.86,-21.03,-11.42,-20.76,-16.12,-18.03,-20.31,-15.71,-29.8,2.53
192911,-18.54,-20.18,-15.5,-13.84,-13.69,-13.58,-11.31,-10.91,-8.96,-7.18,11.36
192912,6.21,0.96,4.2,2.9,4.26,1.56,1.13,-1.19,1.02,-5.91,-12.12
193001,12.17,5.45,5.64,7.34,4.63,5.25,4.56,5.15,5.47,8.24,-3.93
193002,6.72,-2.45,3.38,2.89,3.26,3.43,3.94,4.19,3.81,8.09,1.37
193003,18.25,5.62,3.61,3.27,5.13,8.33,7.75,7.07,10.58,11.51,-6.74
193004,-1.66,-0.15,-0.81,-1.99,-6.75,-0.07,-0.91,-3.8,3.66,1.16,2.82
193005,6.37,-2.99,-2.33,-1.54,0.59,-0.75,-0.88,-2.02,-1.62,-5.3,-11.67
193006,-24.49,-23.71,-22.09,-14.78,-16.65,-16.08,-14.25,-12.43,-17.49,-16.15,8.34
193007,10.25,6.85,5.88,8.45,7.95,3.45,2.54,3.24,2.17,0.29,-9.96
193008,0.16,-0.19,-0.63,0.69,0.54,2.06,1.7,-0.15,-0.65,-3.73,-3.89
193009,-18.55,-18.06,-15.49,-11.39,-13.72,-14.05,-8.36,-12.94,-12.58,-16.87,1.68
193010,-20.93,-13.99,-8.88,-13.12,-10.69,-9.83,-7.48,-6.08,-4.96,-7.69,13.24
193011,0.14,-4.07,-2.85,-2.49,-2.91,-1.71,-4.73,-2.67,-1.96,-2.82,-2.96
193012,-6.91,-12.13,-8.12,-8.98,-6.18,-6.07,-6.39,-5.23,-11.21,-15.5,-8.59
193101,29.29,20.67,11.43,10.62,9.73,7.48,5.32,4.74,4.27,2.75,-26.54
193102,16.33,10.78,10.97,9.54,8.09,13.99,9.84,13.75,22.24,18.26,1.93
193103,-0.48,-7.5,-6.68,-6.1,-4.43,-3.73,-5.92,-10.79,-10.84,-13.92,-13.44
193104,-17.71,-15.18,-13.15,-13.71,-11,-10.68,-7.09,-4.86,-7.09,-20.24,-2.53
193105,-12.64,-14.53,-16.95,-20.84,-15.8,-14.34,-13.27,-13.74,-11.25,-10.36,2.28
193106,32.86,23.14,22.09,16.13,14.1,12.03,11.69,12.32,7.03,5.07,-27.79
193107,2.81,-2.07,-3.77,-4.62,-7.25,-6.86,-10.79,-10.69,-11.46,-15.14,-17.95
193108,-1.82,-1.55,2.38,1.74,0.6,-0.77,2.25,-2.92,1.61,-0.99,0.83
193109,-28.01,-25.56,-31.04,-22.82,-30.38,-28.32,-28.16,-31.54,-29.72,-32.98,-4.97
193110,23.02,13.74,18.28,14.36,11.26,11.1,8.59,4.58,0.58,-5.98,-29
193111,-19.71,-14.47,-9.17,-7.37,-9.77,-5.24,-8.6,-9.33,-10.81,-9.01,10.7
193112,-22.81,-21.39,-24.76,-14.07,-14.71,-10.55,-9.91,-11.78,-10.73,-15.69,7.12
193201,48.47,9.32,3.62,7.3,-0.65,2.76,-1.53,-6.18,-1.95,-10.89,-59.36
193202,3.11,8.31,8.86,4.69,7.46,4.06,4.01,-1.85,3.33,-9.61,-12.72
193203,-17.48,-15.44,-15.87,-7.65,-14.86,-9.06,-12.96,-9.29,-9.85,-15.02,2.46
193204,-18.34,-23.56,-21.31,-23.46,-22.09,-15.81,-16.34,-14.92,-16.97,-9.67,8.67
193205,-23.47,-18.09,-18.69,-24.61,-15.33,-25.57,-18.59,-25.5,-18.13,-19.26,4.21
193206,27.39,11.35,3.48,5.71,-0.51,-3.59,-7.19,-8.12,-0.56,1.66,-25.73
