date,RF,Mkt-RF,SMB,HML,RMW,CMA,UMD,IA,ROE,EG,MGMT,PERF,PEAD,FIN
196307,0.27,-0.39,-0.41,-0.97,0.68,-1.18,0.9,,,,-1.7134513,-1.3391583,,
196308,0.25,5.07,-0.8,1.8,0.36,-0.35,1.01,,,,0.41486202,2.09280905,,
196309,0.27,-1.57,-0.52,0.13,-0.71,0.29,0.19,,,,0.8398419,0.839391,,
196310,0.29,2.53,-1.39,-0.1,2.8,-2.01,3.12,,,,-0.3751353,4.72126459,,
196311,0.27,-0.85,-0.88,1.75,-0.51,2.24,-0.74,,,,-1.4158352,-2.0970503,,
196312,0.29,1.83,-2.1,-0.02,0.03,-0.07,1.75,,,,0.86580404,1.0100875,,
196401,0.3,2.24,0.13,1.48,0.17,1.47,0.86,,,,0.59015435,3.62689535,,
196402,0.26,1.54,0.28,2.81,-0.05,0.91,0.26,,,,1.14599752,1.79862145,,
196403,0.31,1.41,1.23,3.4,-2.21,3.22,0.75,,,,5.14204136,2.09586302,,
196404,0.29,0.1,-1.52,-0.67,-1.27,-1.08,-0.58,,,,-0.7969255,-0.0054514,,
196405,0.26,1.42,-0.63,1.86,-0.16,0.17,2.57,,,,0.85168601,1.92072685,,
196406,0.3,1.27,0.29,0.62,-0.28,-0.17,0.46,,,,-2.5273748,-1.2696653,,
196407,0.3,1.74,0.5,0.75,0.08,1.91,-0.35,,,,1.76631727,-1.2363787,,
196408,0.28,-1.44,0.41,0.08,0.12,0.35,-0.22,,,,-0.6919205,-0.8885346,,
196409,0.28,2.69,-0.34,1.7,-0.56,0.62,-0.41,,,,1.2957959,-0.1572033,,
196410,0.29,0.59,0.87,1.17,-0.43,0.47,0.08,,,,0.38297769,-0.6235726,,
196411,0.29,0,-0.15,-1.96,0.63,-0.26,1.03,,,,0.82386641,-0.0977306,,
196412,0.31,0.03,-0.69,-2.48,1.07,-1.5,-0.74,,,,-1.8551516,-0.0817293,,
196501,0.28,3.54,2.44,0.12,0.91,0.1,-1.44,,,,-0.7873157,0.31369812,,
196502,0.3,0.44,3.31,0.11,0.23,-0.68,0.32,,,,-0.4723771,0.84417244,,
196503,0.36,-1.34,2.12,1.03,-0.32,0.69,0.15,,,,-0.3277285,-0.5296635,,
196504,0.31,3.11,1.05,0.66,0.3,-2.2,2.63,,,,-2.1635266,3.06795807,,
196505,0.31,-0.77,0.1,-1.61,-0.45,0.53,0.6,,,,0.6467603,-0.6759593,,
196506,0.35,-5.51,-4.28,0.59,0.22,0.37,-3.13,,,,0.67774637,-2.0463959,,
196507,0.31,1.43,1.08,2.2,-1.37,0.03,4.1,,,,1.00587578,2.01716589,,
196508,0.33,2.73,2.71,-1,1.9,-0.74,2.58,,,,-0.4058196,2.8406925,,
196509,0.31,2.86,0.62,-0.13,-0.89,0.8,3.3,,,,-0.1827136,1.53960827,,
196510,0.31,2.6,3.47,1.56,1.17,-0.65,3.46,,,,0.6248313,2.41760881,,
196511,0.35,-0.03,5.19,0.15,-1.01,-0.94,4.45,,,,2.18510953,2.35100944,,
196512,0.33,1.01,2.66,2.03,-1.14,-0.53,0.12,,,,-0.1699998,1.75543744,,
196601,0.38,0.72,4.68,3.56,-2.82,-0.11,5.39,,,,1.20157629,3.36702891,,
196602,0.35,-1.21,4.71,0.33,-0.17,-1.49,4.57,,,,-1.1984092,4.02743322,,
196603,0.38,-2.51,0.32,-1.98,1.3,0.06,1.42,,,,0.72239862,0.40727445,,
196604,0.34,2.14,3.35,-0.46,0.39,-0.95,6.28,,,,-0.1997962,4.22938813,,
196605,0.41,-5.66,-5.1,-1.63,1.64,-1.52,-4.7,,,,2.16702593,-2.5724732,,
196606,0.38,-1.44,1.37,0.5,0.15,0.78,3.25,,,,-0.9041076,1.52900447,,
196607,0.35,-1.63,-0.41,0.95,-0.36,1.79,-1.34,,,,0.64057113,-1.1827742,,
196608,0.41,-7.91,-3.12,0.43,-0.09,0.8,-2.14,,,,2.30494197,0.44237897,,
196609,0.4,-1.06,-1.14,0.56,-1.68,2.37,-1.84,,,,3.21083926,-3.0067747,,
196610,0.45,3.86,-6.45,2.69,-3.48,4.25,-5.26,,,,4.26352802,-7.8954491,,
196611,0.4,1.4,3.34,-4.69,4.13,-6.62,5.72,,,,-8.7284657,6.95330572,,
196612,0.4,0.13,2.02,-1.19,0.7,-0.34,1.06,,,,-0.8119125,-1.5607411,,
196701,0.43,8.15,9.1,2.27,0.96,-3.16,-6.93,-2.9263,1.8813,-2.5511,-3.933249,-1.5146181,,
196702,0.36,0.78,3.06,-2.22,1.99,-0.99,3.52,-0.2915,3.5399,2.1792,-2.5244353,3.04940405,,
