date,RF,Mkt-RF,SMB,HML,RMW,CMA,UMD,HML-DEVIL
196307,0.27,-0.39,-0.41,-0.97,0.68,-1.18,0.9,-0.59%
196308,0.25,5.07,-0.8,1.8,0.36,-0.35,1.01,0.28%
196309,0.27,-1.57,-0.52,0.13,-0.71,0.29,0.19,0.27%
196310,0.29,2.53,-1.39,-0.1,2.8,-2.01,3.12,-2.11%
196311,0.27,-0.85,-0.88,1.75,-0.51,2.24,-0.74,0.91%
196312,0.29,1.83,-2.1,-0.02,0.03,-0.07,1.75,-0.81%
196401,0.3,2.24,0.13,1.48,0.17,1.47,0.86,0.92%
196402,0.26,1.54,0.28,2.81,-0.05,0.91,0.26,1.27%
196403,0.31,1.41,1.23,3.4,-2.21,3.22,0.75,3.91%
196404,0.29,0.1,-1.52,-0.67,-1.27,-1.08,-0.58,1.43%
196405,0.26,1.42,-0.63,1.86,-0.16,0.17,2.57,-0.57%
196406,0.3,1.27,0.29,0.62,-0.28,-0.17,0.46,1.16%
196407,0.3,1.74,0.5,0.75,0.08,1.91,-0.35,-0.27%
196408,0.28,-1.44,0.41,0.08,0.12,0.35,-0.22,0.27%
196409,0.28,2.69,-0.34,1.7,-0.56,0.62,-0.41,0.86%
196410,0.29,0.59,0.87,1.17,-0.43,0.47,0.08,0.48%
196411,0.29,0,-0.15,-1.96,0.63,-0.26,1.03,-1.80%
196412,0.31,0.03,-0.69,-2.48,1.07,-1.5,-0.74,-1.34%
196501,0.28,3.54,2.44,0.12,0.91,0.1,-1.44,1.30%
196502,0.3,0.44,3.31,0.11,0.23,-0.68,0.32,0.29%
196503,0.36,-1.34,2.12,1.03,-0.32,0.69,0.15,0.34%
196504,0.31,3.11,1.05,0.66,0.3,-2.2,2.63,-0.27%
196505,0.31,-0.77,0.1,-1.61,-0.45,0.53,0.6,0.23%
196506,0.35,-5.51,-4.28,0.59,0.22,0.37,-3.13,0.86%
196507,0.31,1.43,1.08,2.2,-1.37,0.03,4.1,0.45%
196508,0.33,2.73,2.71,-1,1.9,-0.74,2.58,-1.25%
196509,0.31,2.86,0.62,-0.13,-0.89,0.8,3.3,-0.44%
196510,0.31,2.6,3.47,1.56,1.17,-0.65,3.46,-0.19%
196511,0.35,-0.03,5.19,0.15,-1.01,-0.94,4.45,-1.36%
196512,0.33,1.01,2.66,2.03,-1.14,-0.53,0.12,1.70%
196601,0.38,0.72,4.68,3.56,-2.82,-0.11,5.39,1.25%
196602,0.35,-1.21,4.71,0.33,-0.17,-1.49,4.57,-0.99%
196603,0.38,-2.51,0.32,-1.98,1.3,0.06,1.42,-1.81%
196604,0.34,2.14,3.35,-0.46,0.39,-0.95,6.28,-2.39%
196605,0.41,-5.66,-5.1,-1.63,1.64,-1.52,-4.7,1.83%
196606,0.38,-1.44,1.37,0.5,0.15,0.78,3.25,0.04%
196607,0.35,-1.63,-0.41,0.95,-0.36,1.79,-1.34,0.96%
196608,0.41,-7.91,-3.12,0.43,-0.09,0.8,-2.14,1.69%
196609,0.4,-1.06,-1.14,0.56,-1.68,2.37,-1.84,1.29%
196610,0.45,3.86,-6.45,2.69,-3.48,4.25,-5.26,4.32%
196611,0.4,1.4,3.34,-4.69,4.13,-6.62,5.72,-5.91%
196612,0.4,0.13,2.02,-1.19,0.7,-0.34,1.06,-0.34%
196701,0.43,8.15,9.1,2.27,0.96,-3.16,-6.93,1.85%
196702,0.36,0.78,3.06,-2.22,1.99,-0.99,3.52,-2.67%
196703,0.39,3.99,1.87,0.37,0.86,-1.6,1.53,-1.68%
196704,0.32,3.89,0.43,-2.48,2.33,-3.67,0.59,-2.91%
196705,0.33,-4.33,2.29,1.09,-1.73,1.73,0.72,-0.01%
196706,0.27,2.41,6.43,0.85,-0.62,-2.42,6,-2.93%
196707,0.31,4.58,3.54,2.73,0.48,2.7,-1.07,1.16%
196708,0.31,-0.89,0.72,1.44,0.3,1.45,-1.38,1.27%
196709,0.32,3.11,2.44,-2.5,0.2,-0.95,2.52,-2.33%
196710,0.39,-3.09,0.53,-3.3,1.01,-2.62,3.67,-3.32%
196711,0.36,0.37,-0.04,-1.7,1.34,-2.34,1.26,-2.09%
196712,0.33,3.05,5.75,-0.53,-0.81,0.13,3.25,-1.10%
196801,0.4,-4.06,4.51,4.8,-4.62,6.46,-4.7,7.20%
196802,0.39,-3.75,-2.91,1.28,-0.16,2.45,-3.43,3.20%
196803,0.38,0.2,-1.59,-0.59,1.05,-1.1,3.23,-2.16%
196804,0.43,9.05,6.18,-1.13,2.69,-3.65,5.09,-6.44%
196805,0.45,2.28,7,0.85,0.43,-1.92,3.8,-3.79%
196806,0.43,0.69,-0.28,0.73,-1.41,2.76,-1.9,4.15%
196807,0.48,-2.72,-1.41,5.39,-3.13,3.72,-0.88,6.14%
196808,0.42,1.34,2.27,1.01,-0.7,0.48,1.89,0.81%
196809,0.43,4.03,2.81,0.3,-1.99,0.87,-0.65,0.93%
196810,0.44,0.42,-0.42,2.86,-1.32,2.7,-1.46,3.66%
196811,0.42,5.43,2.39,-0.92,0.43,-2.43,1.75,-0.67%
196812,0.43,-3.94,3.52,-0.01,-1.86,1.76,-0.01,1.16%
196901,0.53,-1.25,-0.44,1.67,-1.55,1.38,-0.17,2.36%
196902,0.46,-5.84,-4.16,0.91,2.07,0.83,-2.36,1.69%
196903,0.46,2.64,-0.45,-0.51,-1.43,-0.35,3.97,-1.47%
196904,0.53,1.46,-0.8,-0.03,0.41,0.06,1.13,-1.55%
